i,ciphertext_hex,elapsed_us
60,0x5a5398e9266001f8ed59606b2fc5c2600ec5da895a6034ac2a1f1e9396b9196b5fa9fe2b8604835512876cd41873e9dce31521a8b586d7f39c538ec14251491119b416c187f5f2681051948e178bac5545d80c8608f76831cab140580a9c184ce444633cd03505e393ed4ede1d257e4141b53a1b1da4d957ebe019b6554e8b8f,16043.63
61,0x376dee750c8fa6bd2bb24cb2a620013680a855006bdbb951c70cbc926a6d3f1c32b3dfa8293d7a124f17deb3543a3fd478d280c7b079c51b3458ad91f80f788f59f4bbc80cb4bf6c1c7d7afcfec1ca09d46a2185086c69a728932081a283b92a7165e8973d731913953ef0ba82321a0ce127babe8efc63330e843d2554d9ca0f,16166.82
62,0xced439bb0d43847ebe6b21f7bcce9465d680dbf46e6e071bea1d45dbddb9f0c5e40f02a29c54f78bc9437dfd4e3e263085658b69f5ed769540beae29ae57241da04b9a8566c9e1d3ab47ead30d6b01a27d3a1563403b47ec12a7879018abc6dfb6c147666076cf2b9cc73a8771fb23ea356e9c763fa9339ece48d62134300c5a,15923.3
63,0x89dbde918f7cde9fd38f5bd8af98f3dbd635e035c124bba6104fabd15b86d43a220c8807e58ab3e4d4dd0c603bd617197f2b4f6799821e7fcc943c86d849a65cc756020a05edd3b82080a6f9232b6ffa048712e9ef47685d59dfcf9506af4e9599a7824fbf9524c473a22458b175e405dcb70c64035769a2c12cd0c5bb4d0582,15848.6
64,0xd0334ec2ab6325020ad84b268847608d675ce82fa37e77d4aca7920ef65330fa1af0e8253de38c593eeeb5910f8696e1c94e00e6bfcbabd30714be79ffa8de9350b7c395178047f06ec85ce12098523640d46f7dc51d072db9d9ed133370d50cd4fc5b87b6eb029fc4ff8dbca7d249c69045d088e9d53ffe6ccefd0ae35fa483,15801.6
65,0x3b6fe71d884421ddb878211252ae8b38d3d1f7d8a51818416455b62dfb572a6d2c2ee59cd3782b9e462d9f2bea1171517a43463a50e36ebb9b752d4595c03926a180298cb1b52ac8f4defc16ae8b387f62e037f86d62d8f9d1e8c11c5569a722fa7ba44ee66b244bd845c666720f3c8355ea74e7013da31eed60367ee7f5c2e5,18223.79
66,0x4b6571b7a72dfe02e8f891b9a650eb56ebe2d8c80fd2c8368beb91425a432845a9ac296ffe01d63812d73f5ee493dcea7c179ef94882d5e2d50e4bcac00e32b8ebe23932a8dc85d868bf4189736540944d10bea7c8db71dead6ae6ac2ed0421ed56cd98f281f6f9495715cb5ea705f4f2a43f971ab555af72f35b59cc5d8cbdf,17411.61
67,0xcbaf9c8772b215263705d7d25cec10a4d11c90812b08a60a51da8926025306a73b4d20a0d17df560e1254728439c06592858c10bd9035b0ecad49e95a62634eb1882539e1a487d29bc3486ef919335b072486c463c367bb43e65332f5623db9e8790d51ceb733e62eba1f2335952fb8383cad4d2c893d807a859c07c1853901f,17172.74
68,0x4b2f57c7029a1dbebe661ad30fb30cf4dfe5022fd19d86f3e473de11550010ea4600fda24d6586f518edc958c7d9adae8c38adc7bc34159a557d39e76a4a01ebc5bb87979a2fa3975a7ef96f0ac23d7c9dc25c1b950373c0da42979a5e41ccac7d823ab9d99e5b6b113f411cd14cf9683de1ad57151d2070ce6c932bc39243cd,16656.33
69,0x24c9a732866346d1e66073b81a8490f6d7c4c3a77617431b568bd5db58ad83b35f43e51340f0e20d0995765f5c5b84e0bfe5c99bdd813bf4dd2193a85fef1e8e1ae481f965024171b43bd1cca0a22070acb13ad5a095ce0920c2e315016b63abcc5fcc0c70f8a682724ac5e2115d4e5084db9e42cabf705319a5973ef4e1ade3,16173.25
70,0x548adb3e0470b83adae8bad669868fe612bb6c7d3aa68ec2c32a1c81d840664f1ce25f02b14812f6e4b145a58735fa751b7019f50f73c9457f63befb7aa45367f1a88a19ac726248e47f9e6715a8486f8f084922d4c4dfb03add159a924e44c931de1d25f5a86fda4b6a774f698c4739ca0e184c25fc43e82e4d6e358296fdb3,16189.08
71,0x7bdf944c4c5495e582f26bb2a1c40dfc166e07f1aadac2035db30c946ae08b9be254070300751d5c51eee56f81cc508be84562184d369b48e94f6b4fde199ee888349399528d2ea1b9c4b81bbc1be89f8edb6099599a480f336f5e37718f5839fc997ed81045f498100844ca69115683012eba6f46e522beaa2857f7f693c087,15838.21
